21.0, 3.122861566753521, 2.6005529771537734, 8, 4, 6, 6, 3, 0, 4, 0, 0
22.0, 2.847777692674186, 2.6005529771537734, 10, 4, 7, 5, 4, 1, 4, 0, 12
23.0, 2.9788298558511763, 2.6005529771537734, 8, 6, 6, 6, 2, 1, 4, 0, -12
24.0, 2.9259346689547865, 2.6005529771537734, 9, 7, 7, 5, 2, 1, 4, 0, -12
25.0, 3.1390418516929737, 2.6005529771537734, 8, 4, 6, 6, 4, 1, 4, 0, -12
26.0, 3.313729740710188, 2.6005529771537734, 7, 5, 6, 6, 2, 1, 4, 0, -12
17.0, 2.182406910293286, 2.6882154617896235, 9, 6, 9, 1, 2, 2, 2, 0, 13
18.0, 2.318919629233903, 2.6882154617896235, 8, 7, 9, 1, 1, 1, 2, 0, 12
19.0, 2.0853171378880666, 2.6882154617896235, 8, 7, 9, 1, 2, 2, 2, 0, 14
20.0, 1.9464943647410002, 2.6882154617896235, 9, 7, 9, 1, 3, 3, 2, 0, 13
21.0, 2.1452936233450455, 2.6882154617896235, 8, 8, 9, 1, 1, 1, 2, 0, 13
22.0, 2.442128426552299, 2.6882154617896235, 8, 7, 9, 1, 1, 1, 2, 0, 12
23.0, 2.66823657847688, 2.6882154617896235, 8, 7, 9, 1, 1, 1, 2, 0, 12
13.0, 3.596094890110932, 1.9451744921355334, 2, 1, 5, 3, 0, 1, 0, 0, -3
14.0, 3.457739096832328, 1.9451744921355334, 2, 2, 5, 3, 0, 0, 0, 0, -13
15.0, 3.29581792535165, 1.9451744921355334, 1, 2, 4, 4, 0, 0, 0, 0, -3
16.0, 3.702629536730705, 1.9451744921355334, 2, 2, 4, 4, 0, 0, 0, 0, -12
17.0, 3.3078148730756842, 1.9451744921355334, 2, 2, 4, 4, 0, 0, 0, 0, -6
18.0, 3.4103891336875143, 1.9451744921355334, 1, 3, 4, 4, 0, 0, 0, 0, -12
19.0, 3.585964221787125, 1.9451744921355334, 1, 2, 4, 4, 0, 0, 0, 0, -12
12.0, 2.7661373813827708, 3.6968368641454576, 2, 2, 1, 1, 1, 1, 0, 1, -16
13.0, 2.1832149350466787, 3.6968368641454576, 4, 1, 1, 1, 2, 0, 0, 1, 16
14.0, 2.054800956202106, 3.6968368641454576, 2, 4, 1, 1, 1, 1, 0, 1, -16
15.0, 2.0000106618603266, 3.6968368641454576, 3, 6, 1, 1, 1, 1, 0, 1, -16
16.0, 2.2906222354014902, 3.6968368641454576, 3, 2, 1, 1, 1, 2, 0, 1, -16
17.0, 2.7202290140363106, 3.6968368641454576, 2, 2, 2, 0, 1, 1, 1, 0, 14
18.0, 2.632704220730448, 3.6968368641454576, 2, 2, 1, 1, 1, 1, 0, 1, -16
7.0, 3.3158869550565804, 3.3333333333333335, 0, 1, 0, 0, 0, 0, 0, 0, -2
21.0, 3.1225290206698517, 3.4601569085585897, 11, 6, 10, 2, 3, 0, 0, 2, -11
22.0, 3.060962124544473, 3.4601569085585897, 9, 4, 10, 2, 5, 0, 0, 2, 10
23.0, 3.3181361804346783, 3.4601569085585897, 9, 4, 10, 2, 3, 0, 0, 2, -11
